0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.07,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,3.1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.73,4.28,1.38,2.14,0.0,0.0,0.0,0.0
0.0,0.71,0.91,0.0,0.0,0.0,5.38,2.03,2.0,0.0,0.0,0.0,0.0
0.0,0.18,1.95,2.06,3.31,3.15,3.18,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.54,4.49,2.97,4.75,8.21,3.5,0.71,0.0,0.0,0.0,0.0,0.0
0.0,0.21,3.39,1.99,0.31,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.13,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
